== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
31.19519 -0.3737793 -0.06167603
30.87495 -0.3449402 -0.009643555
30.4354 -0.3273315 0.002575024
30.07929 -0.3587646 0.02698826
29.6411 -0.3145447 0.04803506
29.15479 -0.158905 -0.02401733
28.68684 -0.1089172 -0.07446289
28.22808 0.006078279 -0.06500244
27.66768 0.3332513 -0.02444458
27.0293 0.5879782 -0.07278442
26.56296 0.5332667 -0.256012
26.13524 0.4209719 -0.379425
25.55619 0.491545 -0.3964539
25.03179 0.4841762 -0.4751892
24.83553 0.4020905 -0.5944519
23.98705 0.4716771 -0.6988831
23.67709 0.3370127 -0.7153625
23.41773 0.2447196 -0.7958374
23.03777 0.248439 -0.8338623
22.74339 0.2035865 -0.8099365
22.71648 0.2028743 -0.8429565
22.65969 0.168984 -0.8888245
22.44984 0.1863695 -0.8866882
22.16857 0.1294384 -0.8719177
21.92229 0.06756777 -0.8882141
21.51469 0.02465644 -0.9507446
21.06863 -0.004387209 -1.084167
20.69268 -0.02206421 -1.152954
20.25921 -0.005497742 -1.225555
19.79687 0.05751012 -1.221375
19.38725 0.06026384 -1.315765
19.04196 -0.05181885 -1.441254
18.68353 -0.06765747 -1.444916
18.26468 -0.04901123 -1.43808
17.82453 0.002608625 -1.483093
17.38246 -0.02908325 -1.487213
16.93561 0.009708941 -1.52301
16.44619 0.06033753 -1.56604
15.99032 0.06925265 -1.6138
15.60584 0.02428794 -1.701813
15.20808 0.02960216 -1.725433
14.75615 0.08542518 -1.745056
14.35234 0.1436348 -1.719086
14.01895 0.1699985 -1.758942
13.66269 0.1969329 -1.721741
13.23028 0.3027453 -1.628204
12.84318 0.3327191 -1.558533
12.5423 0.4326608 -1.522186
12.1588 0.5399656 -1.399689
11.71607 0.5112792 -1.281281
11.26699 0.4711205 -1.199524
10.91672 0.4488737 -1.210144
10.53614 0.3089447 -1.172699
10.15833 0.1470589 -1.104248
9.787728 0.04679992 -1.015869
9.491716 -0.03485107 -0.9463501
9.181046 -0.2058105 -0.8977661
8.852729 -0.3122864 -0.8924866
8.540772 -0.3889771 -0.8697205
8.244576 -0.4401245 -0.8792725
7.874763 -0.5232544 -0.8554077
7.604618 -0.5608826 -0.8200378
7.257489 -0.5901489 -0.7627258
6.914621 -0.594696 -0.6978149
6.617196 -0.6914673 -0.6622314
6.284825 -0.8190918 -0.6065063
5.941798 -0.8848877 -0.5473938
5.568245 -0.9274597 -0.4941711
5.167355 -1.070831 -0.4574585
4.822403 -1.092712 -0.4338684
4.390305 -1.137634 -0.3557739
3.939251 -1.025879 -0.316925
3.127715 -1.036377 -0.4713135
2.644314 -1.130859 -0.3794861
2.13588 -1.145782 -0.3455811
1.667998 -1.094727 -0.3789368
1.26152 -1.056427 -0.3921509
0.8823418 -1.022797 -0.3781128
0.542461 -0.8018494 -0.36026
